START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
3/29/18,4:08 PM,7:08 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,,3/29/18,3/29/18,7:08 PM,10:08 PM,FALSE,TRUE,3/29/18,3:08 PM,6:08 PM,FREE,BUSY
3/30/18,7:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,,3/30/18,3/31/18,10:10 PM,1:10 AM,FALSE,TRUE,3/30/18,6:10 PM,9:10 PM,FREE,BUSY
3/31/18,6:10 PM,9:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,,3/31/18,4/1/18,9:10 PM,12:10 AM,FALSE,TRUE,3/31/18,5:10 PM,8:10 PM,FREE,BUSY
4/1/18,5:37 PM,8:37 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,Local TV: ESPN,4/1/18,4/1/18,8:37 PM,11:37 PM,FALSE,TRUE,4/1/18,4:37 PM,7:37 PM,FREE,BUSY
4/3/18,1:35 PM,4:35 PM,Mariners at Giants,AT&T Park - San Francisco,,4/3/18,4/3/18,4:35 PM,7:35 PM,FALSE,TRUE,4/3/18,12:35 PM,3:35 PM,FREE,BUSY
4/4/18,4:15 PM,7:15 PM,Mariners at Giants,AT&T Park - San Francisco,,4/4/18,4/4/18,7:15 PM,10:15 PM,FALSE,TRUE,4/4/18,3:15 PM,6:15 PM,FREE,BUSY
4/6/18,7:15 PM,10:15 PM,Dodgers at Giants,AT&T Park - San Francisco,,4/6/18,4/7/18,10:15 PM,1:15 AM,FALSE,TRUE,4/6/18,6:15 PM,9:15 PM,FREE,BUSY
4/7/18,1:05 PM,4:05 PM,Dodgers at Giants,AT&T Park - San Francisco,,4/7/18,4/7/18,4:05 PM,7:05 PM,FALSE,TRUE,4/7/18,12:05 PM,3:05 PM,FREE,BUSY
4/8/18,1:05 PM,4:05 PM,Dodgers at Giants,AT&T Park - San Francisco,,4/8/18,4/8/18,4:05 PM,7:05 PM,FALSE,TRUE,4/8/18,12:05 PM,3:05 PM,FREE,BUSY
4/9/18,7:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,,4/9/18,4/10/18,10:15 PM,1:15 AM,FALSE,TRUE,4/9/18,6:15 PM,9:15 PM,FREE,BUSY
4/10/18,7:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,,4/10/18,4/11/18,10:15 PM,1:15 AM,FALSE,TRUE,4/10/18,6:15 PM,9:15 PM,FREE,BUSY
4/11/18,12:45 PM,3:45 PM,D-backs at Giants,AT&T Park - San Francisco,,4/11/18,4/11/18,3:45 PM,6:45 PM,FALSE,TRUE,4/11/18,11:45 AM,2:45 PM,FREE,BUSY
4/12/18,7:10 PM,10:10 PM,Giants at Padres,Petco Park - San Diego,,4/12/18,4/13/18,10:10 PM,1:10 AM,FALSE,TRUE,4/12/18,6:10 PM,9:10 PM,FREE,BUSY
