START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,"Local Radio: WEB- WAQI 710",02/25/18,02/25/18,04:10 PM,04:10 PM,FALSE,TRUE,02/25/18,12:10 PM,12:10 PM,FREE,BUSY
02/26/18,10:00 AM,10:00 AM,Marlins Park Tours,Marlins Park - Miami,"",02/26/18,02/26/18,01:00 PM,01:00 PM,FALSE,TRUE,02/26/18,09:00 AM,09:00 AM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium - Jupiter,"Local Radio: 940 AM WINZ",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Marlins at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: 940 AM WINZ",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,10:00 AM,10:00 AM,Marlins Park Tours,Marlins Park - Miami,"",02/28/18,02/28/18,01:00 PM,01:00 PM,FALSE,TRUE,02/28/18,09:00 AM,09:00 AM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium - Jupiter,"Local Radio: 940 AM WINZ",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/01/18,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,"Local Radio: WEB",03/01/18,03/01/18,04:10 PM,04:10 PM,FALSE,TRUE,03/01/18,12:10 PM,12:10 PM,FREE,BUSY
03/02/18,10:00 AM,10:00 AM,Marlins Park Tours,Marlins Park - Miami,"",03/02/18,03/02/18,01:00 PM,01:00 PM,FALSE,TRUE,03/02/18,09:00 AM,09:00 AM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Marlins at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WEB",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,10:00 AM,10:00 AM,Marlins Park Tours,Marlins Park - Miami,"",03/03/18,03/03/18,01:00 PM,01:00 PM,FALSE,TRUE,03/03/18,09:00 AM,09:00 AM,FREE,BUSY
