home.team,name,name,dist1
Angels,Angel Stadium of Anaheim,Chase Field,357
Angels,Angel Stadium of Anaheim,SunTrust Park,2173
Angels,Angel Stadium of Anaheim,Oriole Park at Camden Yards,2642
Angels,Angel Stadium of Anaheim,Fenway Park,2987
Angels,Angel Stadium of Anaheim,Wrigley Field,2015
Angels,Angel Stadium of Anaheim,Guaranteed Rate Field,2014
Angels,Angel Stadium of Anaheim,Great American Ball Park,2182
Angels,Angel Stadium of Anaheim,Progressive Field,2341
Angels,Angel Stadium of Anaheim,Coors Field,1015
Angels,Angel Stadium of Anaheim,Comerica Park,2276
Angels,Angel Stadium of Anaheim,Marlins Park,2719
Angels,Angel Stadium of Anaheim,Minute Maid Park,1534
Angels,Angel Stadium of Anaheim,Kauffman Stadium,1620
Angels,Angel Stadium of Anaheim,Dodger Stadium,31
Angels,Angel Stadium of Anaheim,Miller Park,2049
Angels,Angel Stadium of Anaheim,Target Field,1922
Angels,Angel Stadium of Anaheim,Nationals Park,2664
Angels,Angel Stadium of Anaheim,Citi Field,2800
Angels,Angel Stadium of Anaheim,Yankee Stadium,2791
Angels,Angel Stadium of Anaheim,Oakland Coliseum,394
Angels,Angel Stadium of Anaheim,Citizens Bank Park,2714
Angels,Angel Stadium of Anaheim,PNC Park,2425
Angels,Angel Stadium of Anaheim,Petco Park,95
Angels,Angel Stadium of Anaheim,ATT Park,409
Angels,Angel Stadium of Anaheim,Safeco Field,1165
Angels,Angel Stadium of Anaheim,Busch Stadium,1825
Angels,Angel Stadium of Anaheim,Tropicana Field,2535
Angels,Angel Stadium of Anaheim,Globe Life Park in Arlington,1405
Angels,Angel Stadium of Anaheim,Rogers Centre,2507
D-Backs,Chase Field,Angel Stadium of Anaheim,357
D-Backs,Chase Field,SunTrust Park,1858
D-Backs,Chase Field,Oriole Park at Camden Yards,2326
D-Backs,Chase Field,Fenway Park,2686
D-Backs,Chase Field,Wrigley Field,1812
D-Backs,Chase Field,Guaranteed Rate Field,1804
D-Backs,Chase Field,Great American Ball Park,1867
D-Backs,Chase Field,Progressive Field,2068
D-Backs,Chase Field,Coors Field,826
D-Backs,Chase Field,Comerica Park,2033
D-Backs,Chase Field,Marlins Park,2362
D-Backs,Chase Field,Minute Maid Park,1177
D-Backs,Chase Field,Kauffman Stadium,1362
D-Backs,Chase Field,Dodger Stadium,375
D-Backs,Chase Field,Miller Park,1885
D-Backs,Chase Field,Target Field,1796
D-Backs,Chase Field,Nationals Park,2349
D-Backs,Chase Field,Citi Field,2473
D-Backs,Chase Field,Yankee Stadium,2470
D-Backs,Chase Field,Oakland Coliseum,736
D-Backs,Chase Field,Citizens Bank Park,2399
D-Backs,Chase Field,PNC Park,2110
D-Backs,Chase Field,Petco Park,356
D-Backs,Chase Field,ATT Park,751
D-Backs,Chase Field,Safeco Field,1507
D-Backs,Chase Field,Busch Stadium,1510
D-Backs,Chase Field,Tropicana Field,2179
D-Backs,Chase Field,Globe Life Park in Arlington,1048
D-Backs,Chase Field,Rogers Centre,2262
Braves,SunTrust Park,Angel Stadium of Anaheim,2173
Braves,SunTrust Park,Chase Field,1858
Braves,SunTrust Park,Oriole Park at Camden Yards,676
Braves,SunTrust Park,Fenway Park,1091
Braves,SunTrust Park,Wrigley Field,710
Braves,SunTrust Park,Guaranteed Rate Field,704
Braves,SunTrust Park,Great American Ball Park,449
Braves,SunTrust Park,Progressive Field,699
Braves,SunTrust Park,Coors Field,1392
Braves,SunTrust Park,Comerica Park,711
Braves,SunTrust Park,Marlins Park,675
Braves,SunTrust Park,Minute Maid Park,800
Braves,SunTrust Park,Kauffman Stadium,783
Braves,SunTrust Park,Dodger Stadium,2182
Braves,SunTrust Park,Miller Park,805
Braves,SunTrust Park,Target Field,1102
Braves,SunTrust Park,Nationals Park,639
Braves,SunTrust Park,Citi Field,893
Braves,SunTrust Park,Yankee Stadium,891
Braves,SunTrust Park,Oakland Coliseum,2464
Braves,SunTrust Park,Citizens Bank Park,772
Braves,SunTrust Park,PNC Park,685
Braves,SunTrust Park,Petco Park,2145
Braves,SunTrust Park,ATT Park,2479
Braves,SunTrust Park,Safeco Field,2686
Braves,SunTrust Park,Busch Stadium,543
Braves,SunTrust Park,Tropicana Field,491
Braves,SunTrust Park,Globe Life Park in Arlington,802
Braves,SunTrust Park,Rogers Centre,940
Orioles,Oriole Park at Camden Yards,Angel Stadium of Anaheim,2642
Orioles,Oriole Park at Camden Yards,Chase Field,2326
Orioles,Oriole Park at Camden Yards,SunTrust Park,676
Orioles,Oriole Park at Camden Yards,Fenway Park,400
Orioles,Oriole Park at Camden Yards,Wrigley Field,707
Orioles,Oriole Park at Camden Yards,Guaranteed Rate Field,697
Orioles,Oriole Park at Camden Yards,Great American Ball Park,515
Orioles,Oriole Park at Camden Yards,Progressive Field,374
Orioles,Oriole Park at Camden Yards,Coors Field,1670
Orioles,Oriole Park at Camden Yards,Comerica Park,526
Orioles,Oriole Park at Camden Yards,Marlins Park,1094
Orioles,Oriole Park at Camden Yards,Minute Maid Park,1445
Orioles,Oriole Park at Camden Yards,Kauffman Stadium,1061
Orioles,Oriole Park at Camden Yards,Dodger Stadium,2659
Orioles,Oriole Park at Camden Yards,Miller Park,794
Orioles,Oriole Park at Camden Yards,Target Field,1117
Orioles,Oriole Park at Camden Yards,Nationals Park,38
Orioles,Oriole Park at Camden Yards,Citi Field,206
Orioles,Oriole Park at Camden Yards,Yankee Stadium,200
Orioles,Oriole Park at Camden Yards,Oakland Coliseum,2817
Orioles,Oriole Park at Camden Yards,Citizens Bank Park,100
Orioles,Oriole Park at Camden Yards,PNC Park,247
Orioles,Oriole Park at Camden Yards,Petco Park,2679
Orioles,Oriole Park at Camden Yards,ATT Park,2815
Orioles,Oriole Park at Camden Yards,Safeco Field,2808
Orioles,Oriole Park at Camden Yards,Busch Stadium,828
Orioles,Oriole Park at Camden Yards,Tropicana Field,967
Orioles,Oriole Park at Camden Yards,Globe Life Park in Arlington,1379
Orioles,Oriole Park at Camden Yards,Rogers Centre,466
Red Sox,Fenway Park,Angel Stadium of Anaheim,2987
Red Sox,Fenway Park,Chase Field,2686
Red Sox,Fenway Park,SunTrust Park,1091
Red Sox,Fenway Park,Oriole Park at Camden Yards,400
Red Sox,Fenway Park,Wrigley Field,996
Red Sox,Fenway Park,Guaranteed Rate Field,987
Red Sox,Fenway Park,Great American Ball Park,868
Red Sox,Fenway Park,Progressive Field,638
Red Sox,Fenway Park,Coors Field,1978
Red Sox,Fenway Park,Comerica Park,705
Red Sox,Fenway Park,Marlins Park,1494
Red Sox,Fenway Park,Minute Maid Park,1843
Red Sox,Fenway Park,Kauffman Stadium,1410
Red Sox,Fenway Park,Dodger Stadium,2996
Red Sox,Fenway Park,Miller Park,1084
Red Sox,Fenway Park,Target Field,1406
Red Sox,Fenway Park,Nationals Park,439
Red Sox,Fenway Park,Citi Field,204
Red Sox,Fenway Park,Yankee Stadium,204
Red Sox,Fenway Park,Oakland Coliseum,3107
Red Sox,Fenway Park,Citizens Bank Park,310
Red Sox,Fenway Park,PNC Park,571
Red Sox,Fenway Park,Petco Park,3056
Red Sox,Fenway Park,ATT Park,3105
Red Sox,Fenway Park,Safeco Field,3097
Red Sox,Fenway Park,Busch Stadium,1177
Red Sox,Fenway Park,Tropicana Field,1368
Red Sox,Fenway Park,Globe Life Park in Arlington,1777
Red Sox,Fenway Park,Rogers Centre,547
Cubs,Wrigley Field,Angel Stadium of Anaheim,2015
Cubs,Wrigley Field,Chase Field,1812
Cubs,Wrigley Field,SunTrust Park,710
Cubs,Wrigley Field,Oriole Park at Camden Yards,707
Cubs,Wrigley Field,Fenway Park,996
Cubs,Wrigley Field,Guaranteed Rate Field,10
Cubs,Wrigley Field,Great American Ball Park,298
Cubs,Wrigley Field,Progressive Field,352
Cubs,Wrigley Field,Coors Field,1006
Cubs,Wrigley Field,Comerica Park,288
Cubs,Wrigley Field,Marlins Park,1378
Cubs,Wrigley Field,Minute Maid Park,1106
Cubs,Wrigley Field,Kauffman Stadium,532
Cubs,Wrigley Field,Dodger Stadium,2023
Cubs,Wrigley Field,Miller Park,91
Cubs,Wrigley Field,Target Field,405
Cubs,Wrigley Field,Nationals Park,706
Cubs,Wrigley Field,Citi Field,810
Cubs,Wrigley Field,Yankee Stadium,802
Cubs,Wrigley Field,Oakland Coliseum,2134
Cubs,Wrigley Field,Citizens Bank Park,770
Cubs,Wrigley Field,PNC Park,467
Cubs,Wrigley Field,Petco Park,2083
Cubs,Wrigley Field,ATT Park,2132
Cubs,Wrigley Field,Safeco Field,2097
Cubs,Wrigley Field,Busch Stadium,302
Cubs,Wrigley Field,Tropicana Field,1194
Cubs,Wrigley Field,Globe Life Park in Arlington,970
Cubs,Wrigley Field,Rogers Centre,519
White Sox,Guaranteed Rate Field,Angel Stadium of Anaheim,2014
White Sox,Guaranteed Rate Field,Chase Field,1804
White Sox,Guaranteed Rate Field,SunTrust Park,704
White Sox,Guaranteed Rate Field,Oriole Park at Camden Yards,697
White Sox,Guaranteed Rate Field,Fenway Park,987
White Sox,Guaranteed Rate Field,Wrigley Field,10
White Sox,Guaranteed Rate Field,Great American Ball Park,289
White Sox,Guaranteed Rate Field,Progressive Field,342
White Sox,Guaranteed Rate Field,Coors Field,1005
White Sox,Guaranteed Rate Field,Comerica Park,279
White Sox,Guaranteed Rate Field,Marlins Park,1369
White Sox,Guaranteed Rate Field,Minute Maid Park,1096
White Sox,Guaranteed Rate Field,Kauffman Stadium,531
White Sox,Guaranteed Rate Field,Dodger Stadium,2022
White Sox,Guaranteed Rate Field,Miller Park,98
White Sox,Guaranteed Rate Field,Target Field,412
White Sox,Guaranteed Rate Field,Nationals Park,697
White Sox,Guaranteed Rate Field,Citi Field,801
White Sox,Guaranteed Rate Field,Yankee Stadium,792
White Sox,Guaranteed Rate Field,Oakland Coliseum,2133
White Sox,Guaranteed Rate Field,Citizens Bank Park,761
White Sox,Guaranteed Rate Field,PNC Park,458
White Sox,Guaranteed Rate Field,Petco Park,2083
White Sox,Guaranteed Rate Field,ATT Park,2131
White Sox,Guaranteed Rate Field,Safeco Field,2104
White Sox,Guaranteed Rate Field,Busch Stadium,296
White Sox,Guaranteed Rate Field,Tropicana Field,1185
White Sox,Guaranteed Rate Field,Globe Life Park in Arlington,982
White Sox,Guaranteed Rate Field,Rogers Centre,509
Reds,Great American Ball Park,Angel Stadium of Anaheim,2182
Reds,Great American Ball Park,Chase Field,1867
Reds,Great American Ball Park,SunTrust Park,449
Reds,Great American Ball Park,Oriole Park at Camden Yards,515
Reds,Great American Ball Park,Fenway Park,868
Reds,Great American Ball Park,Wrigley Field,298
Reds,Great American Ball Park,Guaranteed Rate Field,289
Reds,Great American Ball Park,Progressive Field,250
Reds,Great American Ball Park,Coors Field,1193
Reds,Great American Ball Park,Comerica Park,263
