START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,01:10 PM,03:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: 98.7 FM Arizona's Sports Station",02/25/18,02/25/18,04:10 PM,06:10 PM,FALSE,TRUE,02/25/18,12:10 PM,02:10 PM,FREE,BUSY
02/26/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",02/26/18,02/26/18,12:30 PM,02:30 PM,FALSE,TRUE,02/26/18,08:30 AM,10:30 AM,FREE,BUSY
02/26/18,01:05 PM,03:05 PM,D-backs at Reds,Goodyear Ballpark - Goodyear,"",02/26/18,02/26/18,04:05 PM,06:05 PM,FALSE,TRUE,02/26/18,12:05 PM,02:05 PM,FREE,BUSY
02/26/18,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",02/26/18,02/26/18,04:10 PM,06:10 PM,FALSE,TRUE,02/26/18,12:10 PM,02:10 PM,FREE,BUSY
02/27/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",02/27/18,02/27/18,12:30 PM,02:30 PM,FALSE,TRUE,02/27/18,08:30 AM,10:30 AM,FREE,BUSY
02/27/18,01:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"",02/27/18,02/27/18,04:05 PM,06:05 PM,FALSE,TRUE,02/27/18,12:05 PM,02:05 PM,FREE,BUSY
02/28/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",02/28/18,02/28/18,12:30 PM,02:30 PM,FALSE,TRUE,02/28/18,08:30 AM,10:30 AM,FREE,BUSY
02/28/18,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",02/28/18,02/28/18,04:10 PM,06:10 PM,FALSE,TRUE,02/28/18,12:10 PM,02:10 PM,FREE,BUSY
03/01/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/01/18,03/01/18,12:30 PM,02:30 PM,FALSE,TRUE,03/01/18,08:30 AM,10:30 AM,FREE,BUSY
03/01/18,01:10 PM,03:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A ----- Local Radio: MLB.com",03/01/18,03/01/18,04:10 PM,06:10 PM,FALSE,TRUE,03/01/18,12:10 PM,02:10 PM,FREE,BUSY
03/02/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/02/18,03/02/18,12:30 PM,02:30 PM,FALSE,TRUE,03/02/18,08:30 AM,10:30 AM,FREE,BUSY
03/02/18,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/02/18,03/02/18,04:10 PM,06:10 PM,FALSE,TRUE,03/02/18,12:10 PM,02:10 PM,FREE,BUSY
03/03/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/03/18,03/03/18,12:30 PM,02:30 PM,FALSE,TRUE,03/03/18,08:30 AM,10:30 AM,FREE,BUSY
03/03/18,01:05 PM,03:05 PM,D-backs at Dodgers,Camelback Ranch - Glendale,"Local Radio: 98.7 FM Arizona's Sports Station",03/03/18,03/03/18,04:05 PM,06:05 PM,FALSE,TRUE,03/03/18,12:05 PM,02:05 PM,FREE,BUSY
03/04/18,01:10 PM,03:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A+ ----- Local Radio: ESPN Phoenix 620",03/04/18,03/04/18,04:10 PM,06:10 PM,FALSE,TRUE,03/04/18,12:10 PM,02:10 PM,FREE,BUSY
03/05/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/05/18,03/05/18,12:30 PM,02:30 PM,FALSE,TRUE,03/05/18,08:30 AM,10:30 AM,FREE,BUSY
03/05/18,06:40 PM,08:40 PM,D-backs at Padres,Peoria Stadium - Peoria,"Local TV: MLBN",03/05/18,03/05/18,09:40 PM,11:40 PM,FALSE,TRUE,03/05/18,05:40 PM,07:40 PM,FREE,BUSY
03/06/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/06/18,03/06/18,12:30 PM,02:30 PM,FALSE,TRUE,03/06/18,08:30 AM,10:30 AM,FREE,BUSY
03/06/18,01:10 PM,03:10 PM,Angels at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A",03/06/18,03/06/18,04:10 PM,06:10 PM,FALSE,TRUE,03/06/18,12:10 PM,02:10 PM,FREE,BUSY
03/07/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/07/18,03/07/18,12:30 PM,02:30 PM,FALSE,TRUE,03/07/18,08:30 AM,10:30 AM,FREE,BUSY
03/08/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/08/18,03/08/18,12:30 PM,02:30 PM,FALSE,TRUE,03/08/18,08:30 AM,10:30 AM,FREE,BUSY
03/08/18,01:05 PM,03:05 PM,D-backs at Brewers,Maryvale Baseball Park - Phoenix,"Local Radio: MLB.com",03/08/18,03/08/18,04:05 PM,06:05 PM,FALSE,TRUE,03/08/18,12:05 PM,02:05 PM,FREE,BUSY
03/09/18,09:30 AM,11:30 AM,Chase Field Tours,Chase Field - Phoenix,"",03/09/18,03/09/18,12:30 PM,02:30 PM,FALSE,TRUE,03/09/18,08:30 AM,10:30 AM,FREE,BUSY
03/09/18,01:05 PM,03:05 PM,D-backs at Royals,Surprise Stadium - Surprise,"",03/09/18,03/09/18,04:05 PM,06:05 PM,FALSE,TRUE,03/09/18,12:05 PM,02:05 PM,FREE,BUSY
