START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,12:05 PM,01:05 PM,Astros at Cardinals,Roger Dean Stadium - Jupiter,"Local Radio: KBME 790",02/25/18,02/25/18,03:05 PM,04:05 PM,FALSE,TRUE,02/25/18,11:05 AM,12:05 PM,FREE,BUSY
02/26/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",02/26/18,02/26/18,01:00 PM,02:00 PM,FALSE,TRUE,02/26/18,09:00 AM,10:00 AM,FREE,BUSY
02/26/18,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium - Jupiter,"",02/26/18,02/26/18,03:05 PM,04:05 PM,FALSE,TRUE,02/26/18,11:05 AM,12:05 PM,FREE,BUSY
02/26/18,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW- MLBN ----- Local Radio: KBME 790 (delay)",02/26/18,02/26/18,03:05 PM,04:05 PM,FALSE,TRUE,02/26/18,11:05 AM,12:05 PM,FREE,BUSY
02/27/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",02/27/18,02/27/18,01:00 PM,02:00 PM,FALSE,TRUE,02/27/18,09:00 AM,10:00 AM,FREE,BUSY
02/27/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790 (delay)",02/27/18,02/27/18,03:10 PM,04:10 PM,FALSE,TRUE,02/27/18,11:10 AM,12:10 PM,FREE,BUSY
02/28/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",02/28/18,02/28/18,01:00 PM,02:00 PM,FALSE,TRUE,02/28/18,09:00 AM,10:00 AM,FREE,BUSY
02/28/18,12:05 PM,01:05 PM,Twins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",02/28/18,02/28/18,03:05 PM,04:05 PM,FALSE,TRUE,02/28/18,11:05 AM,12:05 PM,FREE,BUSY
03/01/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/01/18,03/01/18,01:00 PM,02:00 PM,FALSE,TRUE,03/01/18,09:00 AM,10:00 AM,FREE,BUSY
03/01/18,12:05 PM,01:05 PM,Red Sox at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",03/01/18,03/01/18,03:05 PM,04:05 PM,FALSE,TRUE,03/01/18,11:05 AM,12:05 PM,FREE,BUSY
