START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,02:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",02/23/18,02/23/18,05:05 PM,06:05 PM,FALSE,TRUE,02/23/18,01:05 PM,02:05 PM,FREE,BUSY
02/24/18,02:10 PM,03:10 PM,White Sox at Mariners,Peoria Stadium - Peoria,"",02/24/18,02/24/18,05:10 PM,06:10 PM,FALSE,TRUE,02/24/18,01:10 PM,02:10 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local Radio: WGN 720",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,White Sox at Reds,Goodyear Ballpark - Goodyear,"",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,White Sox at Royals,Surprise Stadium - Surprise,"",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/05/18,02:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"",03/05/18,03/05/18,05:05 PM,06:05 PM,FALSE,TRUE,03/05/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,02:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,"",03/09/18,03/09/18,05:10 PM,06:10 PM,FALSE,TRUE,03/09/18,01:10 PM,02:10 PM,FREE,BUSY
03/10/18,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local TV: WGN ----- Local Radio: WGN 720",03/10/18,03/10/18,05:05 PM,06:05 PM,FALSE,TRUE,03/10/18,01:05 PM,02:05 PM,FREE,BUSY
03/12/18,08:40 PM,09:40 PM,White Sox at Mariners,Peoria Stadium - Peoria,"Local Radio: WGN 720",03/12/18,03/13/18,11:40 PM,12:40 AM,FALSE,TRUE,03/12/18,07:40 PM,08:40 PM,FREE,BUSY
