START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN ----- Local Radio: WFAN 660/101.9 FM",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"",02/26/18,02/26/18,09:35 PM,09:35 PM,FALSE,TRUE,02/26/18,05:35 PM,05:35 PM,FREE,BUSY
02/27/18,01:07 PM,01:07 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",02/27/18,02/27/18,04:07 PM,04:07 PM,FALSE,TRUE,02/27/18,12:07 PM,12:07 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,"Local TV: MLBN ----- Local Radio: WFAN 660/101.9 FM",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
03/06/18,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"",03/06/18,03/06/18,04:05 PM,04:05 PM,FALSE,TRUE,03/06/18,12:05 PM,12:05 PM,FREE,BUSY
03/07/18,01:10 PM,01:10 PM,Yankees at Mets,First Data Field - Port St. Lucie,"",03/07/18,03/07/18,04:10 PM,04:10 PM,FALSE,TRUE,03/07/18,12:10 PM,12:10 PM,FREE,BUSY
03/08/18,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",03/08/18,03/08/18,04:05 PM,04:05 PM,FALSE,TRUE,03/08/18,12:05 PM,12:05 PM,FREE,BUSY
03/09/18,06:05 PM,06:05 PM,Yankees at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: WFAN 660/101.9 FM",03/09/18,03/09/18,09:05 PM,09:05 PM,FALSE,TRUE,03/09/18,05:05 PM,05:05 PM,FREE,BUSY
03/10/18,01:05 PM,01:05 PM,Mets at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES- MLBN ----- Local Radio: WFAN 660/101.9 FM",03/10/18,03/10/18,04:05 PM,04:05 PM,FALSE,TRUE,03/10/18,12:05 PM,12:05 PM,FREE,BUSY
03/11/18,01:05 PM,01:05 PM,Yankees at Marlins,Roger Dean Stadium - Jupiter,"Local Radio: WFAN 660/101.9 FM",03/11/18,03/11/18,04:05 PM,04:05 PM,FALSE,TRUE,03/11/18,12:05 PM,12:05 PM,FREE,BUSY
03/12/18,06:35 PM,06:35 PM,Twins at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/12/18,03/12/18,09:35 PM,09:35 PM,FALSE,TRUE,03/12/18,05:35 PM,05:35 PM,FREE,BUSY
03/13/18,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",03/13/18,03/13/18,04:05 PM,04:05 PM,FALSE,TRUE,03/13/18,12:05 PM,12:05 PM,FREE,BUSY
03/14/18,01:05 PM,01:05 PM,Yankees at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MLBN",03/14/18,03/14/18,04:05 PM,04:05 PM,FALSE,TRUE,03/14/18,12:05 PM,12:05 PM,FREE,BUSY
03/15/18,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",03/15/18,03/15/18,04:05 PM,04:05 PM,FALSE,TRUE,03/15/18,12:05 PM,12:05 PM,FREE,BUSY
03/16/18,06:35 PM,06:35 PM,Astros at Yankees,George M. Steinbrenner Field - Tampa,"",03/16/18,03/16/18,09:35 PM,09:35 PM,FALSE,TRUE,03/16/18,05:35 PM,05:35 PM,FREE,BUSY
03/17/18,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local TV: MLBN ----- Local Radio: WFAN 660/101.9 FM",03/17/18,03/17/18,04:05 PM,04:05 PM,FALSE,TRUE,03/17/18,12:05 PM,12:05 PM,FREE,BUSY
03/18/18,01:05 PM,01:05 PM,Marlins at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/18/18,03/18/18,04:05 PM,04:05 PM,FALSE,TRUE,03/18/18,12:05 PM,12:05 PM,FREE,BUSY
03/19/18,06:35 PM,06:35 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"",03/19/18,03/19/18,09:35 PM,09:35 PM,FALSE,TRUE,03/19/18,05:35 PM,05:35 PM,FREE,BUSY
03/20/18,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"",03/20/18,03/20/18,04:05 PM,04:05 PM,FALSE,TRUE,03/20/18,12:05 PM,12:05 PM,FREE,BUSY
03/21/18,06:35 PM,06:35 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"",03/21/18,03/21/18,09:35 PM,09:35 PM,FALSE,TRUE,03/21/18,05:35 PM,05:35 PM,FREE,BUSY
03/22/18,01:05 PM,01:05 PM,Yankees at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: ESPN2",03/22/18,03/22/18,04:05 PM,04:05 PM,FALSE,TRUE,03/22/18,12:05 PM,12:05 PM,FREE,BUSY
03/23/18,01:05 PM,01:05 PM,Red Sox at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES- ESPN",03/23/18,03/23/18,04:05 PM,04:05 PM,FALSE,TRUE,03/23/18,12:05 PM,12:05 PM,FREE,BUSY
03/24/18,01:05 PM,01:05 PM,Yankees at Braves,Champion Stadium - Lake Buena Vista,"",03/24/18,03/24/18,04:05 PM,04:05 PM,FALSE,TRUE,03/24/18,12:05 PM,12:05 PM,FREE,BUSY
03/24/18,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: WFAN 660/101.9 FM",03/24/18,03/24/18,04:05 PM,04:05 PM,FALSE,TRUE,03/24/18,12:05 PM,12:05 PM,FREE,BUSY
03/25/18,01:05 PM,01:05 PM,Yankees at Rays,Charlotte Sports Park - Port Charlotte,"",03/25/18,03/25/18,04:05 PM,04:05 PM,FALSE,TRUE,03/25/18,12:05 PM,12:05 PM,FREE,BUSY
03/26/18,07:35 PM,07:35 PM,Yankees at Braves,SunTrust Park - Atlanta,"",03/26/18,03/26/18,10:35 PM,10:35 PM,FALSE,TRUE,03/26/18,06:35 PM,06:35 PM,FREE,BUSY
03/29/18,03:37 PM,03:37 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/29/18,03/29/18,06:37 PM,06:37 PM,FALSE,TRUE,03/29/18,02:37 PM,02:37 PM,FREE,BUSY
03/30/18,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/30/18,03/30/18,10:07 PM,10:07 PM,FALSE,TRUE,03/30/18,06:07 PM,06:07 PM,FREE,BUSY
03/31/18,04:07 PM,04:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/31/18,03/31/18,07:07 PM,07:07 PM,FALSE,TRUE,03/31/18,03:07 PM,03:07 PM,FREE,BUSY
04/01/18,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",04/01/18,04/01/18,04:07 PM,04:07 PM,FALSE,TRUE,04/01/18,12:07 PM,12:07 PM,FREE,BUSY
04/02/18,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"",04/02/18,04/02/18,04:05 PM,04:05 PM,FALSE,TRUE,04/02/18,12:05 PM,12:05 PM,FREE,BUSY
04/04/18,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"",04/04/18,04/04/18,04:05 PM,04:05 PM,FALSE,TRUE,04/04/18,12:05 PM,12:05 PM,FREE,BUSY
04/05/18,06:35 PM,06:35 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",04/05/18,04/05/18,09:35 PM,09:35 PM,FALSE,TRUE,04/05/18,05:35 PM,05:35 PM,FREE,BUSY
04/06/18,07:05 PM,07:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"",04/06/18,04/06/18,10:05 PM,10:05 PM,FALSE,TRUE,04/06/18,06:05 PM,06:05 PM,FREE,BUSY
